

**********************************
Part 2, input: example.txt
pair: NN depth: 10
pair: NC depth: 9
pair: NB depth: 8
pair: NB depth: 7
pair: NB depth: 6
pair: NB depth: 5
pair: NB depth: 4
pair: NB depth: 3
pair: NB depth: 2
pair: NB depth: 1
pair: NB depth: 0
pair: BB depth: 0
pair: BB depth: 1
pair: BN depth: 0
pair: NB depth: 0
pair: BB depth: 2
pair: BN depth: 1
pair: BB depth: 0
pair: BN depth: 0
pair: NB depth: 1
pair: NB depth: 0
pair: BB depth: 0
pair: BB depth: 3
pair: BN depth: 2
pair: BB depth: 1
pair: BN depth: 0
pair: NB depth: 0
pair: BN depth: 1
pair: BB depth: 0
pair: BN depth: 0
pair: NB depth: 2
pair: NB depth: 1
pair: NB depth: 0
pair: BB depth: 0
pair: BB depth: 1
pair: BN depth: 0
pair: NB depth: 0
pair: BB depth: 4
pair: BN depth: 3
pair: BB depth: 2
pair: BN depth: 1
pair: BB depth: 0
pair: BN depth: 0
pair: NB depth: 1
pair: NB depth: 0
pair: BB depth: 0
pair: BN depth: 2
pair: BB depth: 1
pair: BN depth: 0
pair: NB depth: 0
pair: BN depth: 1
pair: BB depth: 0
pair: BN depth: 0
pair: NB depth: 3
pair: NB depth: 2
pair: NB depth: 1
pair: NB depth: 0
pair: BB depth: 0
pair: BB depth: 1
pair: BN depth: 0
pair: NB depth: 0
pair: BB depth: 2
pair: BN depth: 1
pair: BB depth: 0
pair: BN depth: 0
pair: NB depth: 1
pair: NB depth: 0
pair: BB depth: 0
pair: BB depth: 5
pair: BN depth: 4
pair: BB depth: 3
pair: BN depth: 2
pair: BB depth: 1
pair: BN depth: 0
pair: NB depth: 0
pair: BN depth: 1
pair: BB depth: 0
pair: BN depth: 0
pair: NB depth: 2
pair: NB depth: 1
pair: NB depth: 0
pair: BB depth: 0
pair: BB depth: 1
pair: BN depth: 0
pair: NB depth: 0
pair: BN depth: 3
pair: BB depth: 2
pair: BN depth: 1
pair: BB depth: 0
pair: BN depth: 0
pair: NB depth: 1
pair: NB depth: 0
pair: BB depth: 0
pair: BN depth: 2
pair: BB depth: 1
pair: BN depth: 0
pair: NB depth: 0
pair: BN depth: 1
pair: BB depth: 0
pair: BN depth: 0
pair: NB depth: 4
pair: NB depth: 3
pair: NB depth: 2
pair: NB depth: 1
pair: NB depth: 0
pair: BB depth: 0
pair: BB depth: 1
pair: BN depth: 0
pair: NB depth: 0
pair: BB depth: 2
pair: BN depth: 1
pair: BB depth: 0
pair: BN depth: 0
pair: NB depth: 1
pair: NB depth: 0
pair: BB depth: 0
pair: BB depth: 3
pair: BN depth: 2
pair: BB depth: 1
pair: BN depth: 0
pair: NB depth: 0
pair: BN depth: 1
pair: BB depth: 0
pair: BN depth: 0
pair: NB depth: 2
pair: NB depth: 1
pair: NB depth: 0
pair: BB depth: 0
pair: BB depth: 1
pair: BN depth: 0
pair: NB depth: 0
pair: BB depth: 6
pair: BN depth: 5
pair: BB depth: 4
pair: BN depth: 3
pair: BB depth: 2
pair: BN depth: 1
pair: BB depth: 0
pair: BN depth: 0
pair: NB depth: 1
pair: NB depth: 0
pair: BB depth: 0
pair: BN depth: 2
pair: BB depth: 1
pair: BN depth: 0
pair: NB depth: 0
pair: BN depth: 1
pair: BB depth: 0
pair: BN depth: 0
pair: NB depth: 3
pair: NB depth: 2
pair: NB depth: 1
pair: NB depth: 0
pair: BB depth: 0
pair: BB depth: 1
pair: BN depth: 0
pair: NB depth: 0
pair: BB depth: 2
pair: BN depth: 1
pair: BB depth: 0
pair: BN depth: 0
pair: NB depth: 1
pair: NB depth: 0
pair: BB depth: 0
pair: BN depth: 4
pair: BB depth: 3
pair: BN depth: 2
pair: BB depth: 1
pair: BN depth: 0
pair: NB depth: 0
pair: BN depth: 1
pair: BB depth: 0
pair: BN depth: 0
pair: NB depth: 2
pair: NB depth: 1
pair: NB depth: 0
pair: BB depth: 0
pair: BB depth: 1
pair: BN depth: 0
pair: NB depth: 0
pair: BN depth: 3
pair: BB depth: 2
pair: BN depth: 1
pair: BB depth: 0
pair: BN depth: 0
pair: NB depth: 1
pair: NB depth: 0
pair: BB depth: 0
pair: BN depth: 2
pair: BB depth: 1
pair: BN depth: 0
pair: NB depth: 0
pair: BN depth: 1
pair: BB depth: 0
pair: BN depth: 0
pair: NB depth: 5
pair: NB depth: 4
pair: NB depth: 3
pair: NB depth: 2
pair: NB depth: 1
pair: NB depth: 0
pair: BB depth: 0
pair: BB depth: 1
pair: BN depth: 0
pair: NB depth: 0
pair: BB depth: 2
pair: BN depth: 1
pair: BB depth: 0
pair: BN depth: 0
pair: NB depth: 1
pair: NB depth: 0
pair: BB depth: 0
pair: BB depth: 3
pair: BN depth: 2
pair: BB depth: 1
pair: BN depth: 0
pair: NB depth: 0
pair: BN depth: 1
pair: BB depth: 0
pair: BN depth: 0
pair: NB depth: 2
pair: NB depth: 1
pair: NB depth: 0
pair: BB depth: 0
pair: BB depth: 1
pair: BN depth: 0
pair: NB depth: 0
pair: BB depth: 4
pair: BN depth: 3
pair: BB depth: 2
pair: BN depth: 1
pair: BB depth: 0
pair: BN depth: 0
pair: NB depth: 1
pair: NB depth: 0
pair: BB depth: 0
pair: BN depth: 2
pair: BB depth: 1
pair: BN depth: 0
pair: NB depth: 0
pair: BN depth: 1
pair: BB depth: 0
pair: BN depth: 0
pair: NB depth: 3
pair: NB depth: 2
pair: NB depth: 1
pair: NB depth: 0
pair: BB depth: 0
pair: BB depth: 1
pair: BN depth: 0
pair: NB depth: 0
pair: BB depth: 2
pair: BN depth: 1
pair: BB depth: 0
pair: BN depth: 0
pair: NB depth: 1
pair: NB depth: 0
pair: BB depth: 0
pair: BB depth: 7
pair: BN depth: 6
pair: BB depth: 5
pair: BN depth: 4
pair: BB depth: 3
pair: BN depth: 2
pair: BB depth: 1
pair: BN depth: 0
pair: NB depth: 0
pair: BN depth: 1
pair: BB depth: 0
pair: BN depth: 0
pair: NB depth: 2
pair: NB depth: 1
pair: NB depth: 0
pair: BB depth: 0
pair: BB depth: 1
pair: BN depth: 0
pair: NB depth: 0
pair: BN depth: 3
pair: BB depth: 2
pair: BN depth: 1
pair: BB depth: 0
pair: BN depth: 0
pair: NB depth: 1
pair: NB depth: 0
pair: BB depth: 0
pair: BN depth: 2
pair: BB depth: 1
pair: BN depth: 0
pair: NB depth: 0
pair: BN depth: 1
pair: BB depth: 0
pair: BN depth: 0
pair: NB depth: 4
pair: NB depth: 3
pair: NB depth: 2
pair: NB depth: 1
pair: NB depth: 0
pair: BB depth: 0
pair: BB depth: 1
pair: BN depth: 0
pair: NB depth: 0
pair: BB depth: 2
pair: BN depth: 1
pair: BB depth: 0
pair: BN depth: 0
pair: NB depth: 1
pair: NB depth: 0
pair: BB depth: 0
pair: BB depth: 3
pair: BN depth: 2
pair: BB depth: 1
pair: BN depth: 0
pair: NB depth: 0
pair: BN depth: 1
pair: BB depth: 0
pair: BN depth: 0
pair: NB depth: 2
pair: NB depth: 1
pair: NB depth: 0
pair: BB depth: 0
pair: BB depth: 1
pair: BN depth: 0
pair: NB depth: 0
pair: BN depth: 5
pair: BB depth: 4
pair: BN depth: 3
pair: BB depth: 2
pair: BN depth: 1
pair: BB depth: 0
pair: BN depth: 0
pair: NB depth: 1
pair: NB depth: 0
pair: BB depth: 0
pair: BN depth: 2
pair: BB depth: 1
pair: BN depth: 0
pair: NB depth: 0
pair: BN depth: 1
pair: BB depth: 0
pair: BN depth: 0
pair: NB depth: 3
pair: NB depth: 2
pair: NB depth: 1
pair: NB depth: 0
pair: BB depth: 0
pair: BB depth: 1
pair: BN depth: 0
pair: NB depth: 0
pair: BB depth: 2
pair: BN depth: 1
pair: BB depth: 0
pair: BN depth: 0
pair: NB depth: 1
pair: NB depth: 0
pair: BB depth: 0
pair: BN depth: 4
pair: BB depth: 3
pair: BN depth: 2
pair: BB depth: 1
pair: BN depth: 0
pair: NB depth: 0
pair: BN depth: 1
pair: BB depth: 0
pair: BN depth: 0
pair: NB depth: 2
pair: NB depth: 1
pair: NB depth: 0
pair: BB depth: 0
pair: BB depth: 1
pair: BN depth: 0
pair: NB depth: 0
pair: BN depth: 3
pair: BB depth: 2
pair: BN depth: 1
pair: BB depth: 0
pair: BN depth: 0
pair: NB depth: 1
pair: NB depth: 0
pair: BB depth: 0
pair: BN depth: 2
pair: BB depth: 1
pair: BN depth: 0
pair: NB depth: 0
pair: BN depth: 1
pair: BB depth: 0
pair: BN depth: 0
pair: NB depth: 6
pair: NB depth: 5
pair: NB depth: 4
pair: NB depth: 3
pair: NB depth: 2
pair: NB depth: 1
pair: NB depth: 0
pair: BB depth: 0
pair: BB depth: 1
pair: BN depth: 0
pair: NB depth: 0
pair: BB depth: 2
pair: BN depth: 1
pair: BB depth: 0
pair: BN depth: 0
pair: NB depth: 1
pair: NB depth: 0
pair: BB depth: 0
pair: BB depth: 3
pair: BN depth: 2
pair: BB depth: 1
pair: BN depth: 0
pair: NB depth: 0
pair: BN depth: 1
pair: BB depth: 0
pair: BN depth: 0
pair: NB depth: 2
pair: NB depth: 1
pair: NB depth: 0
pair: BB depth: 0
pair: BB depth: 1
pair: BN depth: 0
pair: NB depth: 0
pair: BB depth: 4
pair: BN depth: 3
pair: BB depth: 2
pair: BN depth: 1
pair: BB depth: 0
pair: BN depth: 0
pair: NB depth: 1
pair: NB depth: 0
pair: BB depth: 0
pair: BN depth: 2
pair: BB depth: 1
pair: BN depth: 0
pair: NB depth: 0
pair: BN depth: 1
pair: BB depth: 0
pair: BN depth: 0
pair: NB depth: 3
pair: NB depth: 2
pair: NB depth: 1
pair: NB depth: 0
pair: BB depth: 0
pair: BB depth: 1
pair: BN depth: 0
pair: NB depth: 0
pair: BB depth: 2
pair: BN depth: 1
pair: BB depth: 0
pair: BN depth: 0
pair: NB depth: 1
pair: NB depth: 0
pair: BB depth: 0
pair: BB depth: 5
pair: BN depth: 4
pair: BB depth: 3
pair: BN depth: 2
pair: BB depth: 1
pair: BN depth: 0
pair: NB depth: 0
pair: BN depth: 1
pair: BB depth: 0
pair: BN depth: 0
pair: NB depth: 2
pair: NB depth: 1
pair: NB depth: 0
pair: BB depth: 0
pair: BB depth: 1
